top - 15:16:29 up  4:55,  1 user,  load average: 1.35, 1.30, 1.18
Tasks: 312 total,   2 running, 310 sleeping,   0 stopped,   0 zombie
%Cpu(s): 77.1 us, 18.6 sy,  0.0 ni,  4.3 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15882.5 total,   4284.5 free,   4082.5 used,   7515.5 buff/cache
MiB Swap:   2048.0 total,   2048.0 free,      0.0 used.  10664.1 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    759 syslog    20   0  224528   4908   3848 S   0.0   0.0   0:00.40 rsyslogd
    764 root      20   0 1097040  39132  20016 S   0.0   0.2   0:03.43 snapd
    766 root      20   0  235604   5976   5436 S   0.0   0.0   0:00.03 switche+
    769 root      20   0   17484   8232   7088 S   0.0   0.1   0:00.58 systemd+
    770 root      20   0  126272   9320   8496 S   0.0   0.1   0:00.53 thermald
    773 root      20   0  396044  14964  11760 S   0.0   0.1   0:01.73 udisksd
    774 root      20   0   14076   8956   7896 S   0.0   0.1   0:00.17 wpa_sup+
    783 avahi     20   0    8348    328      0 S   0.0   0.0   0:00.00 avahi-d+
    841 colord    20   0  248572  16216  10904 S   0.0   0.1   0:00.25 colord
    842 root      20   0  177260  13620  11172 S   0.0   0.1   0:00.35 cups-br+
    845 root      20   0  318908  13680  11648 S   0.0   0.1   0:00.16 ModemMa+
    854 root      20   0 7755652 125952  30700 S   0.0   0.8  13:14.54 java
    881 root      20   0 1422284  43304  30680 S   0.0   0.3   0:05.73 contain+
    894 root      20   0   12188   6920   6076 S   0.0   0.0   0:00.00 sshd
    905 root      20   0   29024   9596   7360 S   0.0   0.1   0:00.07 cupsd
    926 root      20   0  239612   8452   7276 S   0.0   0.1   0:00.05 gdm3
    947 root      20   0  118144  22616  14484 S   0.0   0.1   0:00.09 unatten+
   1005 rtkit     21   1  152936   2912   2672 S   0.0   0.0   0:00.10 rtkit-d+
   1127 root      20   0  252960  10856   8256 S   0.0   0.1   0:04.79 upowerd
   1481 root      20   0 1741592  67448  46692 S   0.0   0.4   0:03.59 dockerd
   1483 whoopsie  20   0  326864  15380  13460 S   0.0   0.1   0:00.10 whoopsie
   1484 kernoops  20   0   11264    448      0 S   0.0   0.0   0:00.55 kernelo+
   1486 kernoops  20   0   11264    444      0 S   0.0   0.0   0:00.56 kernelo+
   1512 root      20   0    2496    568    508 S   0.0   0.0   0:00.03 bpfilte+
   1765 root      20   0  314784  10080   8292 S   0.0   0.1   0:00.06 gdm-ses+
   1779 aniketd+  20   0   19932  10668   8188 S   0.0   0.1   0:01.48 systemd
   1780 aniketd+  20   0  170056   3712     20 S   0.0   0.0   0:00.00 (sd-pam)
   1785 aniketd+   9 -11 2532104  20952  15680 S   0.0   0.1   3:04.58 pulseau+
   1787 aniketd+  39  19  872180  53172  16384 S   0.0   0.3   1:07.22 tracker+
   1790 aniketd+  20   0    9160   6244   3764 S   0.0   0.0   0:03.92 dbus-da+
   1792 aniketd+  20   0  240184   7844   6828 S   0.0   0.0   0:00.74 gnome-k+
   1811 aniketd+  20   0  239808   7652   6600 S   0.0   0.0   0:00.16 gvfsd
   1816 aniketd+  20   0  381932   8176   7348 S   0.0   0.1   0:00.01 gvfsd-f+
   1820 aniketd+  20   0  317568  11440   9432 S   0.0   0.1   0:01.05 gvfs-ud+
   1832 aniketd+  20   0  235880   6144   5616 S   0.0   0.0   0:00.08 gvfs-go+
   1836 aniketd+  20   0  553160  34648  28420 S   0.0   0.2   0:00.08 goa-dae+
   1839 root      10 -10       0      0      0 S   0.0   0.0   0:00.00 krfcommd
   1846 aniketd+  20   0  318516  10972   9716 S   0.0   0.1   0:00.17 goa-ide+
   1851 aniketd+  20   0  235704   6096   5496 S   0.0   0.0   0:00.08 gvfs-mt+
   1856 aniketd+  20   0  238104   6744   5960 S   0.0   0.0   0:00.08 gvfs-gp+
   1860 aniketd+  20   0  316728   8768   7736 S   0.0   0.1   0:00.42 gvfs-af+
   1868 aniketd+  20   0  164020   6472   5848 S   0.0   0.0   0:00.01 gdm-x-s+
   1888 aniketd+  20   0  190520  15240  13620 S   0.0   0.1   0:00.05 gnome-s+
   1956 aniketd+  20   0    6044    448      0 S   0.0   0.0   0:00.03 ssh-age+
   1974 aniketd+  20   0  309128   8704   7896 S   0.0   0.1   0:00.01 at-spi-+
   1979 aniketd+  20   0    7380   4260   3800 S   0.0   0.0   0:00.75 dbus-da+
   1987 aniketd+  20   0   90064   4348   3928 S   0.0   0.0   0:00.00 gnome-s+
   1994 aniketd+  20   0  486440  16996  14348 S   0.0   0.1   0:00.40 gnome-s+
   2030 aniketd+  20   0  314548  10088   8548 S   0.0   0.1   0:00.30 ibus-da+
   2034 aniketd+  20   0  240120   8256   7584 S   0.0   0.1   0:00.01 ibus-dc+
   2035 aniketd+  20   0  274988  30000  18844 S   0.0   0.2   0:01.76 ibus-ex+
   2037 aniketd+  20   0  195888  25404  19072 S   0.0   0.2   0:00.28 ibus-x11
   2043 aniketd+  20   0  240224   8656   7716 S   0.0   0.1   0:00.56 ibus-po+
   2052 aniketd+  20   0  162840   7448   6660 S   0.0   0.0   0:02.93 at-spi2+
   2056 aniketd+  20   0  235600   4648   4212 S   0.0   0.0   0:00.01 xdg-per+
   2058 aniketd+  20   0  580948  19420  16896 S   0.0   0.1   0:00.10 gnome-s+
   2067 aniketd+  20   0 1070248  26088  22112 S   0.0   0.2   0:00.11 evoluti+
   2077 aniketd+  20   0 1117216  30736  26432 S   0.0   0.2   0:00.18 evoluti+
   2089 aniketd+  20   0  673188  29312  25840 S   0.0   0.2   0:00.11 evoluti+
   2090 aniketd+  20   0  156480   5848   5004 S   0.0   0.0   0:00.12 dconf-s+
   2106 aniketd+  20   0 2733772  27064  21784 S   0.0   0.2   0:00.09 gjs
   2114 aniketd+  20   0  319168  12364   9364 S   0.0   0.1   0:00.21 gvfsd-t+
   2125 aniketd+  20   0  313368   8460   7648 S   0.0   0.1   0:00.06 gsd-a11+
   2126 aniketd+  20   0  576200  27424  20948 S   0.0   0.2   0:00.52 gsd-col+
   2127 aniketd+  20   0  373752  16592  14536 S   0.0   0.1   0:00.08 gsd-dat+
   2128 aniketd+  20   0  314032   9064   8140 S   0.0   0.1   0:00.68 gsd-hou+
   2130 aniketd+  20   0  343772  25812  19488 S   0.0   0.2   0:00.36 gsd-key+
   2132 aniketd+  20   0  833444  28228  21360 S   0.0   0.2   0:00.59 gsd-med+
   2134 aniketd+  20   0  610964  29252  22052 S   0.0   0.2   0:00.62 gsd-pow+
   2135 aniketd+  20   0  248232  11192   9760 S   0.0   0.1   0:00.08 gsd-pri+
   2141 aniketd+  20   0  457104   5980   5344 S   0.0   0.0   0:00.09 gsd-rfk+
   2142 aniketd+  20   0  235512   5824   5292 S   0.0   0.0   0:00.06 gsd-scr+
   2144 aniketd+  20   0  468432  12684  10644 S   0.0   0.1   0:00.98 gsd-sha+
   2147 aniketd+  20   0  317468   9808   8832 S   0.0   0.1   0:00.06 gsd-sma+
   2149 aniketd+  20   0  321720  10660   9464 S   0.0   0.1   0:00.06 gsd-sou+
   2150 aniketd+  20   0  461068   8712   7792 S   0.0   0.1   0:00.07 gsd-usb+
   2151 aniketd+  20   0  343316  25656  19024 S   0.0   0.2   0:00.42 gsd-wac+
   2154 aniketd+  20   0  391532   9868   8760 S   0.0   0.1   0:00.06 gsd-wwan
   2159 aniketd+  20   0  344488  26864  19988 S   0.0   0.2   0:00.47 gsd-xse+
   2189 aniketd+  20   0  643852  56920  42448 S   0.0   0.3   0:00.53 evoluti+
   2219 aniketd+  20   0  231804   5856   4532 S   0.0   0.0   0:00.02 gsd-dis+
   2256 aniketd+  20   0  166416   8136   7476 S   0.0   0.1   0:00.07 ibus-en+
   2258 aniketd+  20   0   36.8g 152804 116156 S   0.0   0.9   0:15.86 google-+
   2259 aniketd+  20   0 1189420 103956  55204 S   0.0   0.6   0:05.59 snap-st+
   2310 aniketd+  20   0  531160   6276   5688 S   0.0   0.0   0:00.65 xdg-doc+
   2321 aniketd+  20   0  342184  14904  12996 S   0.0   0.1   0:00.02 gsd-pri+
   2457 aniketd+  20   0  610176  10876   9332 S   0.0   0.1   0:01.13 xdg-des+
   2461 aniketd+  20   0  492312  26584  20112 S   0.0   0.2   0:01.31 xdg-des+
   2547 aniketd+  20   0   32.4g  47048  38656 S   0.0   0.3   0:00.55 google-+
   2548 aniketd+  20   0   32.4g  47416  39024 S   0.0   0.3   0:00.38 google-+
   2605 aniketd+  20   0   32.6g  64320  49024 S   0.0   0.4   0:04.81 google-+
   2618 aniketd+  20   0   32.4g  65148  54516 S   0.0   0.4   0:01.14 google-+
   2674 aniketd+  20   0   40.6g 110916  92536 S   0.0   0.7   0:00.54 google-+
   2770 aniketd+  20   0   32.6g 363472 236580 S   0.0   2.2   6:23.95 chrome
   2775 aniketd+  20   0    8228    580    512 S   0.0   0.0   0:00.00 cat
   2776 aniketd+  20   0    8228    512    452 S   0.0   0.0   0:00.00 cat
   2778 aniketd+  20   0   32.0g   3676   3368 S   0.0   0.0   0:00.00 chrome_+
   2780 aniketd+  20   0   32.0g   2976   2712 S   0.0   0.0   0:00.00 chrome_+
   2786 aniketd+  20   0   32.3g  58576  47336 S   0.0   0.4   0:00.03 chrome
   2787 aniketd+  20   0   32.3g  58656  47416 S   0.0   0.4   0:00.04 chrome
   2788 aniketd+  20   0   32.0g   5128   4736 S   0.0   0.0   0:00.00 nacl_he+
   2791 aniketd+  20   0   32.3g  15928   4564 S   0.0   0.1   0:00.10 chrome
   2813 aniketd+  20   0   32.7g 216944 130396 S   0.0   1.3   7:39.55 chrome
   2816 aniketd+  20   0   32.4g 123268  94324 S   0.0   0.8   3:16.88 chrome
   2825 aniketd+  20   0   32.3g  52464  39568 S   0.0   0.3   0:01.12 chrome
   2845 aniketd+  20   0  493748  32392  25692 S   0.0   0.2   0:00.62 update-+
   2846 aniketd+  20   0  162420   6524   5696 S   0.0   0.0   0:00.11 gvfsd-m+
   2860 aniketd+  20   0 1132.0g 377348 132708 S   0.0   2.3   5:19.68 chrome
   2880 aniketd+  20   0 1129.9g 228916 115436 S   0.0   1.4   1:54.90 chrome
   2978 aniketd+  20   0 1129.9g 391728 128592 S   0.0   2.4   6:52.77 chrome
   3039 aniketd+  20   0   32.6g  86124  73908 S   0.0   0.5   2:52.54 chrome
   5092 aniketd+  20   0  391416  10096   8968 S   0.0   0.1   0:00.06 gvfsd-n+
   5107 aniketd+  20   0  314988   8116   7180 S   0.0   0.0   0:00.03 gvfsd-d+
   7458 aniketd+  20   0 1135.0g 302856 115480 S   0.0   1.9   0:50.52 chrome
   7491 aniketd+  20   0 1129.9g 102620  79876 S   0.0   0.6   0:01.29 chrome
   7692 aniketd+  20   0  864144  53392  41388 S   0.0   0.3   0:00.41 gnome-c+
   7697 aniketd+  20   0  939664  41192  27772 S   0.0   0.3   0:00.36 seahorse
  10772 aniketd+  20   0  161628   4800   4432 S   0.0   0.0   0:00.00 oosplash
  10809 aniketd+  20   0 1439096 337360 143892 S   0.0   2.1   0:55.52 soffice+
  12718 root      20   0 1222080   3052   2300 S   0.0   0.0   0:00.00 docker-+
  12732 root      20   0 1295812   2980   2204 S   0.0   0.0   0:00.00 docker-+
  12747 root      20   0 1222592   3300   2524 S   0.0   0.0   0:00.00 docker-+
  12761 root      20   0 1074616   3284   2524 S   0.0   0.0   0:00.00 docker-+
  12773 root      20   0 1222848   3248   2492 S   0.0   0.0   0:00.12 docker-+
  12787 root      20   0  712200   9732   7272 S   0.0   0.1   0:00.44 contain+
  12808 root      20   0   22540  11236   8036 S   0.0   0.1   0:01.47 systemd
  13098 root      19  -1   29396  12016  10812 S   0.0   0.1   0:01.19 systemd+
  13125 tcpdump   20   0    7008   3748   3416 S   0.0   0.0   0:00.01 dbus-da+
  13138 root      20   0   12184   7240   6316 S   0.0   0.0   0:00.01 sshd
  13593 root      20   0 1570772  53980  32108 S   0.0   0.3   0:18.53 contain+
  13816 root      20   0 3094668  88620  48692 S   0.0   0.5   2:36.89 dockerd
  14042 root      20   0  751224  42368  26516 S   0.0   0.3   1:58.19 cri-doc+
  14539 root      20   0 1721384 105620  67852 S   0.0   0.6   2:02.47 kubelet
  14919 root      20   0  712456   9828   7604 S   0.0   0.1   0:00.43 contain+
  14920 root      20   0  711944   9324   7088 S   0.0   0.1   0:00.41 contain+
  14925 root      20   0  711944   9984   7632 S   0.0   0.1   0:00.43 contain+
  14930 root      20   0  712200   9796   7428 S   0.0   0.1   0:00.40 contain+
  15002 65535     20   0     972      4      0 S   0.0   0.0   0:00.07 pause
  15004 65535     20   0     972      4      0 S   0.0   0.0   0:00.07 pause
  15017 65535     20   0     972      4      0 S   0.0   0.0   0:00.07 pause
  15024 65535     20   0     972      4      0 S   0.0   0.0   0:00.07 pause
  15100 root      20   0  712200  10104   7952 S   0.0   0.1   0:02.13 contain+
  15124 root      20   0  712200  10276   7960 S   0.0   0.1   0:02.08 contain+
  15156 root      20   0  712456   9912   7384 S   0.0   0.1   0:02.18 contain+
  15157 root      20   0  712200   9952   7892 S   0.0   0.1   0:02.14 contain+
  15188 root      20   0  832256 105424  63448 S   0.0   0.6   1:30.49 kube-co+
  15201 root      20   0  765260  51444  37796 S   0.0   0.3   0:15.07 kube-sc+
  15214 root      20   0 1188840 390788  77296 S   0.0   2.4   4:21.31 kube-ap+
  15229 root      20   0   10.7g  63816  25304 S   0.0   0.4   2:08.20 etcd
  15673 root      20   0  712456   9832   7456 S   0.0   0.1   0:00.40 contain+
  15703 root      20   0  712456   9748   7460 S   0.0   0.1   0:00.40 contain+
  15721 65535     20   0     972      4      0 S   0.0   0.0   0:00.07 pause
  15732 65535     20   0     972      4      0 S   0.0   0.0   0:00.07 pause
  15770 root      20   0  712200   9924   7776 S   0.0   0.1   0:00.38 contain+
  15790 65535     20   0     972      4      0 S   0.0   0.0   0:00.04 pause
  15917 root      20   0  712456   9496   7580 S   0.0   0.1   0:02.14 contain+
  15940 root      20   0  757480  39924  30688 S   0.0   0.2   0:01.21 kube-pr+
  15960 root      20   0  712456  10032   7580 S   0.0   0.1   0:02.11 contain+
  15985 root      20   0  753032  44536  33024 S   0.0   0.3   0:08.38 coredns
  16914 root      20   0  712200  10220   7836 S   0.0   0.1   0:00.36 contain+
  16940 65535     20   0     972      4      0 S   0.0   0.0   0:00.04 pause
  17258 root      20   0  712456  10120   7696 S   0.0   0.1   0:02.06 contain+
  17279 root      20   0  735984  29440  21180 S   0.0   0.2   0:12.54 storage+
  17516 aniketd+  20   0   43992   6572   5948 S   0.0   0.0   0:00.01 obexd
  17766 root      20   0  712200   9616   7584 S   0.0   0.1   0:01.96 contain+
  17785 root      20   0   32660   5392   4712 S   0.0   0.0   0:00.03 nginx
  17801 systemd+  20   0   33116   2580   1536 S   0.0   0.0   0:00.00 nginx
  20598 aniketd+  20   0 1131.0g 318464 122876 S   0.0   2.0   0:47.60 chrome
  33714 aniketd+  20   0 1130.9g 168392 118808 S   0.0   1.0   0:52.61 chrome
  39001 aniketd+  20   0 1130.9g 154240 108564 S   0.0   0.9   0:03.78 chrome
  43457 root      20   0       0      0      0 I   0.0   0.0   0:00.90 kworker+
  43495 root      20   0       0      0      0 I   0.0   0.0   0:01.29 kworker+
  43501 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/123+
  43727 root       0 -20       0      0      0 I   0.0   0.0   0:01.38 kworker+
  47150 aniketd+  20   0 1129.9g 216800 116516 S   0.0   1.3   0:52.43 chrome
  47323 aniketd+  20   0 1129.9g  65620  49964 S   0.0   0.4   0:00.08 chrome
  58646 lp        20   0   15332   6640   5840 S   0.0   0.0   0:00.00 dbus
  59131 root      20   0       0      0      0 I   0.0   0.0   0:03.00 kworker+
  66947 root      20   0       0      0      0 I   0.0   0.0   0:00.32 kworker+
  69300 root      20   0       0      0      0 I   0.0   0.0   0:00.85 kworker+
  72600 root      20   0       0      0      0 I   0.0   0.0   0:00.22 kworker+
  75604 root      20   0       0      0      0 I   0.0   0.0   0:00.50 kworker+
  78500 root      20   0       0      0      0 I   0.0   0.0   0:00.21 kworker+
  81393 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  81425 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
